Year,Number,Name,Purpose,Address,Landcat,Area,Cd,Cu,As,Hg,Pb,Cr_six,Zn,Ni,F,Organicp,PCBS,CN,Penole,Benzen,Toluen, Ethylbenzene,Xylene,TPH,TCE,PCE,Benzoapyrene,pH,XX,YY,X,Y
2010,TPNA03,대구3공단,없음,대구시 북구 노원3가 187-1,공장용지,32987,2.46,137.6,17.02,0.03,78.1,0,349.1,55,361,NA,0,0,0,0,0,0,0,80,0,0,NA,8.7,128.566,35.898,1096228.633,1767314.097
2010,TPNA01,성서공단1,없음,대구시 달서구 장동 306-6,공장용지,120,2.6,52.8,15.46,0.04,51.3,0,167.4,30.5,110,NA,0,0,0,0,0,0,0,142,0,0,NA,6.4,128.509,35.842,1091134.767,1761128.201
2010,TKNA01,북구관음,없음,대구시 북구 관음동 1371,대지,68892,2.78,10.2,5.17,0.01,25.5,0,105.9,8.1,287,NA,NA,0.1,NA,0,0,0,0,47,NA,NA,NA,6.8,128.544,35.936,1094205.848,1771525.373
2010,TANA06,복현초등,없음,대구시 북구 복현동 225,학교용지,17862,2,15.9,2.09,0,40.2,0,73.1,9,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,128.622,35.898,1101223.158,1767383.114
2010,TGNA06,북구고성,없음,대구시 북구 고성동 3가 2,체육용지,119276,2.07,32.6,14.12,0.04,39.9,0,122.6,13.2,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,128.588,35.881,1098178.518,1765524.923
2010,TKNA02,수성지산,없음,대구시 수성구 지산동 1273,대지,699,2.37,40.7,13.75,0.02,36.5,0,113.2,21.5,188,NA,NA,0.1,NA,0,0,0,0,0,NA,NA,NA,6.4,128.636,35.821,1102644.818,1758916.672
2010,TANA09,남양초등,없음,대구시 수성구 지산동 1022,학교용지,16144,2.08,6.2,1.38,0,46.3,0,89.1,6,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,128.629,35.834,1101983.558,1760261.743
2010,TKNA10,달서상인,없음,대구시 달서구 상인동 1563,대지,37099,1.34,16.4,7.61,0,20.2,0,86.2,12.1,330,NA,NA,0.1,NA,0,0,0,0,0,NA,NA,NA,7.3,128.553,35.809,1095148.34,1757504.322
2010,TPNA12,북구침산,없음,대구시 북구 침산1동 1217,공장용지,32341,2.91,98.1,20.4,0,73.3,1.4,213.3,48.8,305,NA,0,0,0,0,0,0,0,0,0,0,NA,6.9,128.581,35.895,1097514.286,1767052.469
2010,TANA02,성서초등,없음,대구시 달서구 이곡동 727-1,학교용지,8237,1.73,14.8,8.83,0,70.4,0,66.3,9,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,128.514,35.852,1091586.667,1762140.052
2010,TUNA04,어린이공원,없음,대구시 수성구 황금동 626,공원,88140,2.22,26.5,5.23,0,16.6,0,97.8,17.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,128.628,35.846,1101841.458,1761658.195
2010,TPNA08,성서공단2,없음,대구시 달서구 갈산동 100-23,공장용지,12736,2.74,45.3,13.5,0.03,67.8,0,184.1,30.6,323,NA,0,0,0,0,0,0,0,0,0,0,NA,6.8,128.506,35.848,1090864.253,1761701.824
